#FORMAT=WebAnno TSV 3.2


#Text=Hướng dẫn cách làm lươn chiên giòn sốt tiêu xanh ngon, cực hấp dẫn Làm thế nào để có thể chế biến được món lươn chiên giòn sốt tiêu xanh thơm ngon đúng vị, để giúp các bạn thì hãy cùng chúng tôi tìm hiểu những thông tin ngay dưới đây nhé! + Thịt lươn: 300g + Bột chiên gà giòn + Nước dừa tươi: 1/2 chén + Hạt nêm + Tiêu xanh: 30g + Hành tỏi băm, sả băm + Giấm gạo lên men LISA + Dầu ăn, dầu hào, tương ớt, bột bắp, đường Lươn mua về rửa sạch sẽ với hỗn hợp nước ấm, giấm, rồi dùng dao tách bỏ xương lấy phần thịt lươn. Sau đó thái khúc ngắn. Hạt tiêu xanh rửa sạch, dùng dao đập dập. Sả cắt bỏ gốc rửa sạch, thái nhỏ. Hành khô, tỏi bóc bỏ vỏ, đập dập, băm nhỏ. Bước 1: Bước đầu tiên của cách làm lươn chiên giòn sốt tiêu xanh ngon, các bạn cho lươn thái khúc cho vào bát to cho thêm . Bước 2: Sau đó bạn cho thêm 1 thìa cà phê hạt tiêu xanh, 1/2 số hành, tỏi băm nhỏ rồi xóc thật đều và ướp chừng 15-20 phút để lươn ngấm gia vị. Bước 3: Sau khi lươn ướp đã ngấm gia vị, bạn chắt bỏ nước ướp rồi cho bột chiên gà giòn vào xóc đều cho bột phủ kín miếng thịt lươn là được. Bước 4: Bắc chảo sâu lòng lên bếp, cho dầu ăn vào đun nóng già rồi cho lươn vào chiên với lửa vừa đến khi lươn chín vàng đều thì vớt lươn ra bát lót giấy thấm dầu. Lưu ý: Khi chiên lươn, bạn nên chiên ngập dầu, để cách làm lươn chiên giòn sốt tiêu xanhvàng đều, thơm ngon, hấp dẫn hơn. Bước 5: Hướng dẫn pha chế hỗn hợp sốt lươn: + Bạn chuẩn bị 1/2 bát con nước dừa tươi rồi thêm vào đó 1 thìa hạt nêm, 1 thìa dầu hào, 1 thìa tương ớt, 1 thìa bột bắp, 1 thìa đường, rồi dùng đũa khuấy thật đều để hỗn hợp hòa tan hoàn toàn và quyện vào với nhau. + Sau đó, bạn cho dầu ăn vào chảo đun nóng rồi cho nốt số hành tỏi băm còn lại, sả băm nhỏ, hạt tiêu xanh vào phi thơm. Sau đó cho phần hỗn hợp sốt lươn vào đun sôi khoảng 5-10 phút cho hỗn hợp cạn dần sánh, sền sệt lại thì tắt bếp. Bước 6: Cuối cùng, bạn cho món lươn chiên giòn sốt tiêu xanh ra đĩa, rưới phần nước sốt lươn lên trên rồi thưởng thức. Chúc các bạn thành công!
1-1	0-5	Hướng	
1-2	6-9	dẫn	
1-3	10-14	cách	
1-4	15-18	làm	
1-5	19-23	lươn	
1-6	24-29	chiên	
1-7	30-34	giòn	
1-8	35-38	sốt	
1-9	39-43	tiêu	
1-10	44-48	xanh	
1-11	49-54	ngon,	
1-12	55-58	cực	
1-13	59-62	hấp	
1-14	63-66	dẫn	
1-15	67-70	Làm	
1-16	71-74	thế	
1-17	75-78	nào	
1-18	79-81	để	
1-19	82-84	có	
1-20	85-88	thể	
1-21	89-92	chế	
1-22	93-97	biến	
1-23	98-102	được	
1-24	103-106	món	
1-25	107-111	lươn	
1-26	112-117	chiên	
1-27	118-122	giòn	
1-28	123-126	sốt	
1-29	127-131	tiêu	
1-30	132-136	xanh	
1-31	137-141	thơm	
1-32	142-146	ngon	
1-33	147-151	đúng	
1-34	152-155	vị,	
1-35	156-158	để	
1-36	159-163	giúp	
1-37	164-167	các	
1-38	168-171	bạn	
1-39	172-175	thì	
1-40	176-179	hãy	
1-41	180-184	cùng	
1-42	185-190	chúng	
1-43	191-194	tôi	
1-44	195-198	tìm	
1-45	199-203	hiểu	
1-46	204-209	những	
1-47	210-215	thông	
1-48	216-219	tin	
1-49	220-224	ngay	
1-50	225-229	dưới	
1-51	230-233	đây	
1-52	234-238	nhé!	
1-53	239-240	+	
1-54	241-245	Thịt	
1-55	246-251	lươn:	
1-56	252-256	300g	
1-57	257-258	+	
1-58	259-262	Bột	
1-59	263-268	chiên	
1-60	269-271	gà	
1-61	272-276	giòn	
1-62	277-278	+	
1-63	279-283	Nước	
1-64	284-287	dừa	
1-65	288-293	tươi:	
1-66	294-297	1/2	
1-67	298-302	chén	
1-68	303-304	+	
1-69	305-308	Hạt	
1-70	309-312	nêm	
1-71	313-314	+	
1-72	315-319	Tiêu	
1-73	320-325	xanh:	
1-74	326-329	30g	
1-75	330-331	+	
1-76	332-336	Hành	
1-77	337-340	tỏi	
1-78	341-345	băm,	
1-79	346-348	sả	
1-80	349-352	băm	
1-81	353-354	+	
1-82	355-359	Giấm	
1-83	360-363	gạo	
1-84	364-367	lên	
1-85	368-371	men	
1-86	372-376	LISA	
1-87	377-378	+	
1-88	379-382	Dầu	
1-89	383-386	ăn,	
1-90	387-390	dầu	
1-91	391-395	hào,	
1-92	396-401	tương	
1-93	402-405	ớt,	
1-94	406-409	bột	
1-95	410-414	bắp,	
1-96	415-420	đường	
1-97	421-425	Lươn	
1-98	426-429	mua	
1-99	430-432	về	
1-100	433-436	rửa	
1-101	437-441	sạch	
1-102	442-444	sẽ	
