#FORMAT=WebAnno TSV 3.2


#Text=Đừng vội dao kéo, bọng mắt to thâm cỡ nào cũng bị xóa sạch với nguyên liệu đơn giản này Bọng mỡ mắt là “kẻ thù số 1” của nhan sắc bởi chúng khiến cho gương mặt của bạn trở nên già nua nhanh chóng và giảm tính thẩm mỹ rõ rệt. Đừng quá lo lắng, chỉ cần biết sử dụng những nguyên liệu dễ kiếm này, bạn sẽ lấy lại đôi mắt trẻ trung một cách nhanh chóng. Khoai tây là một trong những loại thực phẩm được áp dụng phổ biến trong các công thức làm đẹp của chị em phụ nữ, đặc biệt nó còn có tác dụng xóa mờ quầng thâm mắt, ngăn chặn quá trình sản sinh melanin và làm giảm mỡ bọng mắt hiệu quả. + Khoai tây rửa sạch, để trong ngăn mắt tủ lạnh trong khoảng 2 tiếng đồng hồ + Thái từng lát mỏng và đắp lên vùng mắt để trong khoảng 10 phút + Ngoài ta bạn cũng có thể nghiền nhuyễn khoai tây rồi trộn đều với sữa chua để cung cấp các dưỡng chất, vitamin cần thiết cho mắt. Dưa chuột giúp làm đẹp da, làm giảm bọng mắt, giúp bạn xóa mờ các vết thâm quầng mắt. Do đó, đây là liều thần dược tuyệt vời giúp bạn có được đôi mắt đẹp như mong đợi. + Dưa leo chọn lấy quả tươi, gọt sạch + Xay nhuyễn lấy nước cốt, để trong khoảng 15 phút, thoa đều lên vùng mí mắt + Rửa lại bằng nước sạch + Ngoài ra bạn cũng có thể sử dụng dưa leo đã được làm lạnh để làm tăng tính hiệu quả khi trị bọng mắt tại nhà Không chỉ có tác dụng làm đẹp, cung cấp các dưỡng chất, vitamin cần thiết cho da, lô hội còn có khả năng làm giảm mỡ bọng, giúp bạn lấy lại sự trẻ trung cho đôi mắt. Chính vì vậy, giải pháp này đang được nhiều chị em phụ nữ tin tưởng lựa chọn hiện nay. + Lấy gel của lá lô hội chà lên vùng mắt + Đợi đến khi dung dịch này khô rồi rửa lại bằng nước ấm
1-1	0-4	Đừng	
1-2	5-8	vội	
1-3	9-12	dao	
1-4	13-17	kéo,	
1-5	18-22	bọng	
1-6	23-26	mắt	
1-7	27-29	to	
1-8	30-34	thâm	
1-9	35-37	cỡ	
1-10	38-41	nào	
1-11	42-46	cũng	
1-12	47-49	bị	
1-13	50-53	xóa	
1-14	54-58	sạch	
1-15	59-62	với	
1-16	63-69	nguyên	
1-17	70-74	liệu	
1-18	75-78	đơn	
1-19	79-83	giản	
1-20	84-87	này	
1-21	88-92	Bọng	
1-22	93-95	mỡ	
1-23	96-99	mắt	
1-24	100-102	là	
1-25	103-106	“kẻ	
1-26	107-110	thù	
1-27	111-113	số	
1-28	114-116	1”	
1-29	117-120	của	
1-30	121-125	nhan	
1-31	126-129	sắc	
1-32	130-133	bởi	
1-33	134-139	chúng	
1-34	140-145	khiến	
1-35	146-149	cho	
1-36	150-155	gương	
1-37	156-159	mặt	
1-38	160-163	của	
1-39	164-167	bạn	
1-40	168-171	trở	
1-41	172-175	nên	
1-42	176-179	già	
1-43	180-183	nua	
1-44	184-189	nhanh	
1-45	190-195	chóng	
1-46	196-198	và	
1-47	199-203	giảm	
1-48	204-208	tính	
1-49	209-213	thẩm	
1-50	214-216	mỹ	
1-51	217-219	rõ	
1-52	220-224	rệt.	
1-53	225-229	Đừng	
1-54	230-233	quá	
1-55	234-236	lo	
1-56	237-242	lắng,	
1-57	243-246	chỉ	
1-58	247-250	cần	
1-59	251-255	biết	
1-60	256-258	sử	
1-61	259-263	dụng	
1-62	264-269	những	
1-63	270-276	nguyên	
1-64	277-281	liệu	
1-65	282-284	dễ	
1-66	285-289	kiếm	
1-67	290-294	này,	
1-68	295-298	bạn	
1-69	299-301	sẽ	
1-70	302-305	lấy	
1-71	306-309	lại	
1-72	310-313	đôi	
1-73	314-317	mắt	
1-74	318-321	trẻ	
1-75	322-327	trung	
1-76	328-331	một	
1-77	332-336	cách	
